Type Ligne,Identifiant de l'élément,Structure,Type de l'élément,Statut de l'élément,Nom base français,Nom base anglais,Nom base espagnol,Nom attribut français,Nom attribut anglais,Nom attribut espagnol,Nom frontière français,Nom frontière anglais,Nom frontière espagnol,Code de la catégorie,Tags français,Tags anglais,Tags espagnol,Unité français,Unité anglais,Unité espagnol,Contributeur,Autres Contributeurs,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Sous-localisation géographique anglais,Sous-localisation géographique espagnol,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Commentaire anglais,Commentaire espagnol,Type poste,Nom poste français,Nom poste anglais,Nom poste espagnol,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
Poste,28301,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,BioGNC -Biométhane comprimé,BioCNG - Compressed natural gas,,Pour véhicule routier,For road vehicle,,Mix Moyen,Medium Mix,,Combustibles > Organiques > Gazeux,,,,kgCO2e/kg BioGNC,,,GRDF,,,,,France continentale,,,,08/10/2020,10/05/2021,3 ans,70,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,0.02,0,0,7.00E-03,0.013,,,,,,,,,,,0,0
Poste,27061,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,BioGNL,BioLNG,,Carburant,Fuel,,Issu d'épuration cryogénique de biogaz,Result of cryogenic purification of biogas,,Combustibles > Organiques > Liquides,,,,kgCO2e/kWh (PCI),kgCO2e/kWh (LHV),,SUEZ Services France,,,,SUEZ,France continentale,,,,28/03/2019,22/10/2019,27/03/2022,30,,,,4,4,4,4,0,3,"Quantités de Gaz à Effet de Serre émises pour fournir un kilowattheure PCI de bioGNL issu d'épuration cryogénique de biogaz et utilisé dans un moteur à combustion_x000D_
",,,Combustion,,,,7.00E-03,0,0,5.00E-03,2.00E-03,,,,,,,,,,,0,0.201
Poste,13988,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,E10,,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/litre,kgCO2e/liter,,ADEME,,,,,France continentale,,,,20/10/2014,18/06/2021,Dec-20,10,"DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'article L1431.3 du code des transports",,,,,,,,,,,,Combustion,,,,2.2,2.16,0.0176,0,0.0178,,,,,,,,,,,0,0.151869
Poste,14002,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,E10,,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/GJ PCI,kgCO2e/GJ ICV,,ADEME,,,,,France continentale,,,,20/10/2014,18/06/2021,Dec-17,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,,,,,,,,,,Combustion,,,,69.3,68.2,0.556,0,0.559,,,,,,,,,,,0,4.741428
Poste,14003,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,E10,,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/kg,kgCO2e/kg,,ADEME,,,,,France continentale,,,,20/10/2014,18/06/2021,Dec-17,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,,,,,,,,,,Combustion,,,,2.94,2.89,0.0236,0,0.0236,,,,,,,,,,,0,0.151869
Poste,14004,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,E10,,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/kWh PCI,kgCO2e/kWh ICV,,ADEME,,,,,France continentale,,,,20/10/2014,18/06/2021,Dec-17,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,,,,,,,,,,Combustion,,,,0.249,0.245,2.01E-03,0,2.12E-03,,,,,,,,,,,0,0.017069
Poste,14005,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,E10,,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/tep PCI,kgCO2e/toe ICV,,ADEME,,,,,France continentale,,,,20/10/2014,18/06/2021,Dec-17,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,,,,,,,,,,Combustion,,,,2907,2860,23.4,0,23.5,,,,,,,,,,,0,198.478391
Poste,25765,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,E85,,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/kWh PCI,kgCO2e/kWh ICV,,ADEME,,,,,France continentale,,,,12/12/2016,18/06/2021,Dec-18,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,,,,,,,,,,Combustion,,,,0.058,0.057,5.10E-04,0,5.30E-04,,,,,,,,,,,0,0.202247
Poste,25766,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,E85,,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/litre,kgCO2e/liter,,ADEME,,,,,France continentale,,,,12/12/2016,18/06/2021,Dec-20,10,"DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'article L1431.3 du code des transports",,,,,,,,,,,,Combustion,,,,0.366,0.36,2.91E-03,0,2.92E-03,,,,,,,,,,,0,1.290888
Poste,25767,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,E85,,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/tep PCI,kgCO2e/toe ICV,,ADEME,,,,,France continentale,,,,12/12/2016,18/06/2021,Dec-18,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,,,,,,,,,,Combustion,,,,676,665,5.42,0,5.45,,,,,,,,,,,0,2351.713699
Poste,25768,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,E85,,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/GJ PCI,kgCO2e/GJ ICV,,ADEME,,,,,France continentale,,,,12/12/2016,18/06/2021,Dec-18,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,,,,,,,,,,Combustion,,,,16.1,15.8,0.129,0,0.13,,,,,,,,,,,0,56.179827
Poste,25769,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,E85,,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/tonne,kgCO2e/kg,,ADEME,,,,,France continentale,,,,12/12/2016,18/06/2021,Dec-18,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,490,482,3.93,0,3.94,,,,,,,,,,,0,1728.096259
Poste,25760,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/tep PCI,kgCO2e/toe ICV,,ADEME,,,,,France continentale,,,,12/12/2016,18/06/2021,Dec-18,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,2907,2860,23.3,0,23.8,,,,,,,,,,,0,156.140338
Poste,25761,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/GJ PCI,kgCO2e/GJ ICV,,ADEME,,,,,France continentale,,,,12/12/2016,18/06/2021,Dec-18,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,69.2,68.1,0.56,0,0.56,,,,,,,,,,,0,3.730019
Poste,25762,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Essence,Gasoline,,"Supercarburant sans plomb (95, 95-E10, 98)",,,,,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier,,,,kgCO2e/tonne,kgCO2e/tonne,,ADEME,,,,,France continentale,,,,12/12/2016,18/06/2021,Dec-18,5,DonnÃ©es de l'article L229-25 de la loi TECV,,,0,0,0,0,0,0,,,,Combustion,,,,2908,2860,23.7,0,23.8,,,,,,,,,,,0,154.001368
